[ 2026-04-01 15:51:05,359 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-01 15:51:11,474 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-04-01 15:51:11,474 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-01 15:51:11,475 ] 72 root - INFO - Exporting train and test file path.
[ 2026-04-01 15:51:11,709 ] 81 root - INFO - Exported train and test file path.
[ 2026-04-01 15:51:11,710 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-01 15:51:11,755 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-01 15:51:11,926 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 15:51:11,927 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 15:51:11,927 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 15:51:11,928 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 15:51:13,068 ] 28 root - INFO - data Validation Completed
[ 2026-04-01 15:51:13,070 ] 31 root - INFO - data Transformation started
[ 2026-04-01 15:51:13,070 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-01 15:51:13,070 ] 65 root - INFO - Starting data transformation
[ 2026-04-01 15:51:13,123 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-01 15:51:13,123 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-01 15:51:13,151 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 15:51:13,158 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-01 15:51:13,159 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 15:51:13,164 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-01 15:51:13,166 ] 35 root - INFO - data Transformation completed
[ 2026-04-01 15:51:13,167 ] 37 root - INFO - Model Training sstared
