[ 2026-04-01 15:09:20,511 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-01 15:09:24,455 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-04-01 15:09:24,455 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-01 15:09:24,456 ] 72 root - INFO - Exporting train and test file path.
[ 2026-04-01 15:09:24,554 ] 81 root - INFO - Exported train and test file path.
[ 2026-04-01 15:09:24,556 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-01 15:09:24,572 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-01 15:09:24,702 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 15:09:24,703 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 15:09:24,703 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 15:09:24,703 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 15:09:25,131 ] 28 root - INFO - data Validation Completed
[ 2026-04-01 15:09:25,163 ] 31 root - INFO - data Transformation started
[ 2026-04-01 15:09:25,163 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-01 15:09:25,163 ] 65 root - INFO - Starting data transformation
[ 2026-04-01 15:09:25,254 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-01 15:09:25,255 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-01 15:09:25,276 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 15:09:25,283 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-01 15:09:25,283 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 15:09:25,287 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-01 15:09:25,291 ] 35 root - INFO - data Transformation completed
