[ 2026-04-01 16:06:42,453 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-01 16:06:46,691 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-04-01 16:06:46,691 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-01 16:06:46,692 ] 72 root - INFO - Exporting train and test file path.
[ 2026-04-01 16:06:47,074 ] 81 root - INFO - Exported train and test file path.
[ 2026-04-01 16:06:47,075 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-01 16:06:47,185 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-01 16:06:47,689 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 16:06:47,802 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 16:06:47,803 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 16:06:47,803 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 16:06:49,037 ] 28 root - INFO - data Validation Completed
[ 2026-04-01 16:06:49,070 ] 31 root - INFO - data Transformation started
[ 2026-04-01 16:06:49,070 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-01 16:06:49,070 ] 65 root - INFO - Starting data transformation
[ 2026-04-01 16:06:49,564 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-01 16:06:49,564 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-01 16:06:49,665 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 16:06:49,679 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-01 16:06:49,680 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-01 16:06:49,731 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-01 16:06:49,787 ] 35 root - INFO - data Transformation completed
[ 2026-04-01 16:06:49,788 ] 37 root - INFO - Model Training sstared
