[ 2026-04-01 08:33:04,077 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-01 08:33:07,573 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-04-01 08:33:07,574 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-01 08:33:07,574 ] 72 root - INFO - Exporting train and test file path.
[ 2026-04-01 08:33:07,691 ] 81 root - INFO - Exported train and test file path.
[ 2026-04-01 08:33:07,692 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-01 08:33:07,737 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-01 08:33:07,847 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 08:33:07,848 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 08:33:07,848 ] 32 root - INFO - Required number of columns:2
[ 2026-04-01 08:33:07,848 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-01 08:33:08,139 ] 28 root - INFO - data Validation Completed
